Node,Depth,Value
B5,5,-Infinity
B2,5,24
B5,5,24
B3,5,41
B5,5,41
B4,5,26
B5,5,41
B5,5,23
B5,5,41
A2,4,41
B2,3,41
A3,4,-Infinity
B2,5,-9
A3,4,-9
B3,5,8
A3,4,8
B4,5,-7
A3,4,8
B5,5,8
A3,4,8
B2,3,8
A4,4,-Infinity
B2,5,2
A4,4,2
B3,5,19
A4,4,19
B4,5,4
A4,4,19
B5,5,20
A4,4,20
B2,3,8
A5,4,-Infinity
B2,5,-9
A5,4,-9
B3,5,8
A5,4,8
B4,5,-Infinity
B2,5,-4
B4,5,-4
B3,5,13
B4,5,13
B4,5,-6
B4,5,13
B5,5,-Infinity
B2,5,19
B5,5,19
B3,5,36
B5,5,36
B4,5,17
B5,5,36
B5,5,17
B5,5,36
B4,5,36
A5,4,36
B5,5,8
A5,4,36
B2,3,8
B4,3,8
B3,3,Infinity
A2,4,-Infinity
B2,5,20
A2,4,20
B3,5,15
A2,4,20
B4,5,16
A2,4,20
B5,5,32
A2,4,32
B3,3,32
A3,4,-Infinity
B2,5,8
A3,4,8
B3,5,2
A3,4,8
B4,5,4
A3,4,8
B5,5,19
A3,4,19
B3,3,19
A4,4,-Infinity
B2,5,-Infinity
B2,5,20
B2,5,20
B3,5,23
B2,5,23
B4,5,-Infinity
B2,5,-Infinity
B2,5,27
B2,5,27
B3,5,-Infinity
B2,5,33
B3,5,33
B3,5,33
B3,5,33
B4,5,34
B3,5,34
B5,5,54
B3,5,54
B2,5,54
B4,5,28
B2,5,54
B5,5,49
B2,5,54
B4,5,54
B3,5,29
B4,5,54
B4,5,26
B4,5,54
B5,5,47
B4,5,54
B2,5,54
B5,5,40
B2,5,54
A4,4,54
B3,5,13
A4,4,54
B4,5,-Infinity
B2,5,24
B4,5,24
B3,5,18
B4,5,24
B4,5,16
B4,5,24
B5,5,-Infinity
B2,5,47
B5,5,47
B3,5,41
B5,5,47
B4,5,39
B5,5,47
B5,5,39
B5,5,47
B4,5,47
A4,4,54
B5,5,30
A4,4,54
B3,3,19
A5,4,-Infinity
B2,5,8
A5,4,8
B3,5,2
A5,4,8
B4,5,4
A5,4,8
B5,5,19
A5,4,19
B3,3,19
B4,3,19
B4,3,Infinity
A2,4,-Infinity
B2,5,4
A2,4,4
B3,5,16
A2,4,16
B4,5,-1
A2,4,16
B5,5,16
A2,4,16
B4,3,16
A3,4,-Infinity
B2,5,-7
A3,4,-7
B3,5,4
A3,4,4
B4,5,-13
A3,4,4
B5,5,-Infinity
B2,5,15
B5,5,15
B3,5,26
B5,5,26
B4,5,9
B5,5,26
B5,5,-Infinity
B2,5,18
B5,5,18
B3,5,-Infinity
B2,5,-Infinity
B2,5,44
B2,5,44
B3,5,47
B2,5,47
B4,5,-Infinity
B2,5,54
B4,5,54
B3,5,57
B4,5,57
B4,5,53
B4,5,57
B5,5,-Infinity
B2,5,61
B5,5,61
B3,5,63
B5,5,63
B4,5,60
B5,5,63
B5,5,59
B5,5,63
B4,5,63
B2,5,63
B5,5,-Infinity
B2,5,50
B5,5,50
B3,5,52
B5,5,52
B4,5,57
B5,5,57
B5,5,49
B5,5,57
B2,5,63
B3,5,63
B3,5,-Infinity
B2,5,46
B3,5,46
B3,5,33
B3,5,46
B4,5,40
B3,5,46
B5,5,36
B3,5,46
B3,5,63
B4,5,37
B3,5,63
B5,5,33
B3,5,63
B5,5,63
B4,5,13
B5,5,63
B5,5,9
B5,5,63
B5,5,63
A3,4,63
B4,3,16
A4,4,-Infinity
B2,5,-Infinity
B2,5,5
B2,5,5
B3,5,23
B2,5,23
B4,5,6
B2,5,23
B5,5,23
B2,5,23
A4,4,23
B3,5,15
A4,4,23
B4,5,-2
A4,4,23
B5,5,15
A4,4,23
B4,3,16
A5,4,-Infinity
B2,5,-7
A5,4,-7
B3,5,4
A5,4,4
B4,5,-13
A5,4,4
B5,5,-Infinity
B2,5,15
B5,5,15
B3,5,26
B5,5,26
B4,5,9
B5,5,26
B5,5,-Infinity
B2,5,18
B5,5,18
B3,5,-Infinity
B2,5,-Infinity
B2,5,44
B2,5,44
B3,5,47
B2,5,47
B4,5,-Infinity
B2,5,54
B4,5,54
B3,5,57
B4,5,57
B4,5,53
B4,5,57
B5,5,-Infinity
B2,5,61
B5,5,61
B3,5,63
B5,5,63
B4,5,60
B5,5,63
B5,5,59
B5,5,63
B4,5,63
B2,5,63
B5,5,-Infinity
B2,5,50
B5,5,50
B3,5,52
B5,5,52
B4,5,57
B5,5,57
B5,5,49
B5,5,57
B2,5,63
B3,5,63
B3,5,-Infinity
B2,5,46
B3,5,46
B3,5,33
B3,5,46
B4,5,40
B3,5,46
B5,5,36
B3,5,46
B3,5,63
B4,5,37
B3,5,63
B5,5,33
B3,5,63
B5,5,63
B4,5,13
B5,5,63
B5,5,9
B5,5,63
B5,5,63
A5,4,63
B4,3,16
B4,3,19
B5,3,Infinity
A2,4,-Infinity
B2,5,20
A2,4,20
B3,5,32
A2,4,32
B4,5,16
A2,4,32
B5,5,15
A2,4,32
B5,3,32
A3,4,-Infinity
B2,5,8
A3,4,8
B3,5,19
A3,4,19
B4,5,4
A3,4,19
B5,5,2
A3,4,19
B5,3,19
A4,4,-Infinity
B2,5,-Infinity
B2,5,20
B2,5,20
B3,5,40
B2,5,40
B4,5,-Infinity
B2,5,-Infinity
B2,5,27
B2,5,27
B3,5,-Infinity
B2,5,-Infinity
B2,5,52
B2,5,52
B3,5,55
B2,5,55
B4,5,56
B2,5,56
B5,5,60
B2,5,60
B3,5,60
B3,5,-Infinity
B2,5,55
B3,5,55
B3,5,52
B3,5,55
B4,5,56
B3,5,56
B5,5,60
B3,5,60
B3,5,60
B4,5,-Infinity
B2,5,56
B4,5,56
B3,5,56
B4,5,56
B4,5,54
B4,5,56
B5,5,61
B4,5,61
B3,5,61
B5,5,56
B3,5,61
B2,5,61
B4,5,28
B2,5,61
B5,5,32
B2,5,61
B4,5,61
B3,5,46
B4,5,61
B4,5,26
B4,5,61
B5,5,30
B4,5,61
B2,5,61
B5,5,23
B2,5,61
A4,4,61
B3,5,30
A4,4,61
B4,5,-Infinity
B2,5,24
B4,5,24
B3,5,35
B4,5,35
B4,5,16
B4,5,35
B5,5,-Infinity
B2,5,28
B5,5,28
B3,5,-Infinity
B2,5,-Infinity
B2,5,53
B2,5,53
B3,5,56
B2,5,56
B4,5,57
B2,5,57
B5,5,56
B2,5,57
B3,5,57
B3,5,42
B3,5,57
B4,5,43
B3,5,57
B5,5,43
B3,5,57
B5,5,57
B4,5,20
B5,5,57
B5,5,20
B5,5,57
B4,5,57
A4,4,61
B5,5,13
A4,4,61
B5,3,19
A5,4,-Infinity
B2,5,8
A5,4,8
B3,5,19
A5,4,19
B4,5,4
A5,4,19
B5,5,2
A5,4,19
B5,3,19
B4,3,19
A2,2,19
B5,3,Infinity
A2,4,Infinity
A2,4,-Infinity
B2,5,1
A2,4,1
B3,5,13
A2,4,13
B4,5,-Infinity
B2,5,21
B4,5,21
B3,5,-Infinity
B2,5,43
B3,5,43
B3,5,35
B3,5,43
B4,5,37
B3,5,43
B5,5,40
B3,5,43
B4,5,43
B4,5,15
B4,5,43
B5,5,17
B4,5,43
A2,4,43
B5,5,-3
A2,4,43
A2,4,43
A3,4,Infinity
A2,4,-Infinity
B2,5,-17
A2,4,-17
B3,5,-5
A2,4,-5
B4,5,-5
A2,4,-5
B5,5,-Infinity
B2,5,-11
B5,5,-11
B3,5,0
B5,5,0
B4,5,0
B5,5,0
B5,5,-19
B5,5,0
A2,4,0
A3,4,0
A3,4,-Infinity
B2,5,-16
A3,4,-16
B3,5,-4
A3,4,-4
B4,5,-4
A3,4,-4
B5,5,-Infinity
B2,5,-10
B5,5,-10
B3,5,1
B5,5,1
B4,5,1
B5,5,1
B5,5,-18
B5,5,1
A3,4,1
A3,4,0
A4,4,-Infinity
